133	174
135	173
136	172
137	171
137	170
140	169
140	169
141	168
142	167
143	166
144	166
148	168
151	167
153	166
154	166
154	164
156	165
156	164
156	165
157	165
157	166
158	167
159	164
160	166
160	165
161	165
162	165
161	164
161	164
159	164
160	163
160	162
160	161
161	162
161	160
161	160
163	158
163	158
162	157
160	158
160	160
161	159
161	159
161	159
161	158
163	159
162	159
162	160
161	160
160	159
160	160
159	160
160	161
159	161
159	161
159	159
160	162
163	162
161	162
163	162
164	162
163	163
164	164
162	163
162	164
161	164
161	164
161	165
161	164
162	166
161	165
162	166
162	166
159	165
162	165
161	163
164	163
163	162
163	160
164	161
163	159
164	160
163	159
163	159
162	159
162	159
162	160
162	159
162	160
162	160
163	160
163	161
163	160
162	161
162	160
162	160
163	159
163	159
164	160
164	158
165	159
165	159
166	158
166	159
165	159
164	159
163	159
163	159
163	160
163	162
165	162
164	161
164	160
163	159
163	159
163	159
161	159
160	160
158	159
160	161
162	163
164	163
166	164
167	162
169	163
168	164
168	164
168	165
170	165
170	167
173	168
171	169
170	169
171	168
174	168
173	167
173	167
173	169
173	168
173	167
174	166
173	165
171	167
171	166
171	166
170	165
172	165
169	164
169	163
169	163
168	163
169	163
168	162
168	161
168	161
167	160
167	161
166	161
166	163
165	160
164	160
165	160
165	160
165	162
164	161
164	163
164	164
164	165
164	165
164	165
165	165
164	164
166	163
166	163
165	160
165	164
164	162
164	163
162	163
161	165
161	165
160	165
160	166
160	165
159	164
160	164
159	162
160	162
160	160
159	160
158	159
157	159
157	159
156	158
156	158
155	159
154	158
154	158
154	157
154	158
153	157
153	157
153	158
153	157
153	158
151	157
151	157
151	158
150	158
152	158
149	157
151	154
152	155
152	154
153	154
151	153
152	154
149	153
148	154
148	156
148	157
148	157
146	155
147	155
146	153
147	153
146	153
145	152
144	153
143	152
143	154
144	154
146	152
147	152
147	150
149	150
150	150
148	151
149	152
149	152
150	153
150	153
150	155
150	153
150	151
153	153
154	151
154	150
153	149
153	148
154	147
153	146
153	148
151	147
152	147
153	148
154	146
153	146
151	145
151	147
150	146
151	147
152	146
152	145
154	145
153	145
153	145
152	145
151	146
150	146
149	145
149	147
148	147
148	147
149	148
149	147
150	147
150	147
151	149
152	149
151	149
151	150
150	149
150	150
151	151
150	149
150	150
149	149
150	149
150	149
151	149
151	149
150	148
151	149
149	147
150	147
149	147
148	147
149	149
148	147
149	147
147	147
147	146
147	147
146	146
147	146
147	146
148	145
148	145
148	143
149	145
148	144
148	145
148	145
147	146
148	146
148	145
148	145
148	144
148	145
149	146
149	144
150	145
150	145
