-220	-191	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
177	184	
179	184	
185	188	
192	189	
200	191	
209	194	
215	196	
223	199	
229	200	
235	203	
64	21	
66	23	
65	21	
62	22	
61	25	
58	25	
62	26	
63	26	
65	28	
69	30	
69	30	
70	32	
66	34	
59	34	
48	31	
33	28	
12	27	
-9	24	
-30	19	
-50	12	
-63	6	
-68	-2	
-68	-14	
-59	-22	
-46	-32	
-26	-43	
0	-55	
25	-67	
54	-73	
76	-80	
92	-83	
97	-83	
99	-79	
97	-73	
86	-64	
75	-48	
59	-31	
45	-11	
28	8	
14	26	
6	44	
1	57	
-1	71	
-6	80	
-5	86	
-6	90	
-9	88	
-12	85	
-12	77	
-13	71	
-17	62	
-22	52	
-28	42	
-32	31	
-38	20	
-45	7	
-51	-4	
-55	-13	
-67	-24	
-76	-35	
-85	-44	
-92	-50	
-98	-55	
-104	-60	
-104	-59	
-101	-59	
-94	-55	
-87	-51	
-76	-43	
-63	-33	
-51	-26	
-38	-17	
-25	-11	
-15	-3	
-7	0	
-4	4	
-2	9	
-3	9	
0	10	
-1	10	
-2	11	
-2	11	
-4	10	
-1	10	
-2	12	
-1	10	
1	5	
2	2	
0	-2	
-2	-7	
-1	-10	
0	-14	
1	-16	
3	-17	
8	-20	
16	-16	
22	-12	
30	-9	
38	-2	
46	1	
51	4	
51	7	
50	9	
45	10	
37	10	
30	7	
22	0	
18	-3	
17	-11	
19	-17	
24	-23	
32	-31	
45	-37	
58	-46	
72	-52	
80	-57	
86	-57	
84	-56	
74	-53	
60	-46	
43	-38	
24	-28	
1	-14	
-19	2	
-36	17	
-49	32	
-58	45	
-60	55	
-57	59	
-49	65	
-42	66	
-32	67	
-19	62	
-12	56	
-5	51	
-1	42	
4	35	
5	27	
7	23	
7	16	
9	9	
11	4	
10	-3	
14	-10	
16	-16	
18	-21	
18	-24	
15	-28	
11	-28	
4	-30	
-4	-28	
-11	-26	
-19	-23	
-25	-16	
-33	-12	
-38	-3	
-42	2	
-41	8	
-39	13	
-36	16	
-31	20	
-29	20	
-24	21	
-24	20	
-22	18	
-19	12	
-18	6	
-17	2	
-15	-4	
-12	-9	
-7	-14	
-2	-19	
4	-21	
13	-24	
21	-27	
29	-26	
36	-25	
42	-22	
45	-20	
49	-15	
49	-11	
48	-6	
45	-1	
40	2	
36	9	
28	13	
20	16	
14	17	
6	17	
-2	19	
-12	16	
-20	15	
-26	13	
-31	10	
-33	7	
-32	0	
-25	-4	
-18	-12	
-8	-20	
2	-32	
16	-41	
32	-50	
43	-60	
52	-66	
59	-72	
59	-73	
55	-70	
45	-65	
35	-53	
24	-39	
11	-23	
-1	-6	
-11	9	
-16	26	
-24	39	
-22	51	
-19	57	
-12	62	
-4	63	
0	61	
7	58	
8	52	
9	45	
8	36	
6	26	
1	16	
-5	6	
-12	-2	
-18	-12	
-20	-21	
-24	-29	
-25	-37	
-25	-43	
-27	-48	
-27	-52	
-27	-53	
-31	-55	
-33	-54	
-39	-54	
-44	-52	
-48	-49	
-54	-48	
-57	-41	
-61	-40	
-61	-35	
-63	-33	
-60	-30	
-55	-29	
-49	-26	
-43	-24	
-38	-26	
-31	-23	
-26	-24	
-19	-23	
-14	-21	
-8	-21	
-3	-20	
-2	-19	
0	-20	
2	-17	
2	-13	
4	-10	
6	-10	
5	-8	
4	-8	
2	-9	
1	-7	
0	-8	
-1	-7	
-2	-10	
-2	-13	
-3	-15	
-9	-15	
-8	-13	
-9	-14	
-9	-8	
-8	-3	
-6	1	
-4	9	
-5	14	
-4	21	
-4	26	
-1	28	
-1	31	
-2	35	
-3	34	
-7	29	
-11	28	
-10	22	
-5	16	
3	11	
12	2	
26	-5	
39	-17	
53	-30	
68	-43	
82	-55	
94	-67	
96	-77	
91	-82	
80	-87	
62	-87	
38	-80	
12	-70	
-11	-55	
-34	-33	
-56	-12	
-72	11	
-82	31	
-85	50	
-86	66	
-78	80	
-67	89	
-54	93	
-43	95	
-34	87	
-23	82	
-16	74	
-12	67	
-6	61	
-2	53	
0	48	
1	40	
2	36	
4	32	
6	29	
8	26	
8	22	
12	18	
10	12	
8	8	
6	3	
2	0	
-2	-2	
-5	-4	
-8	-3	
-11	0	
-12	2	
-14	8	
-14	13	
-10	19	
-6	26	
-1	30	
7	35	
10	37	
15	40	
20	39	
23	39	
26	38	
27	36	
28	36	
26	32	
26	31	
23	29	
21	26	
20	24	
16	21	
15	19	
12	14	
10	10	
7	6	
5	2	
3	-2	
0	-6	
-1	-7	
-3	-9	
-4	-11	
-4	-10	
-4	-10	
-1	-8	
0	-8	
1	-7	
2	-2	
3	-1	
6	3	
8	4	
10	7	
11	9	
11	12	
10	15	
10	16	
11	19	
11	18	
10	18	
7	15	
1	14	
-3	15	
-9	12	
-12	9	
-14	9	
-16	7	
-13	5	
-7	0	
4	-5	
17	-11	
33	-21	
50	-33	
65	-46	
78	-56	
86	-72	
90	-82	
87	-90	
74	-94	
55	-90	
33	-83	
11	-68	
-13	-50	
-32	-28	
-47	-6	
-59	16	
-64	38	
-66	56	
-59	71	
-45	81	
-33	86	
-20	88	
-8	85	
0	81	
6	76	
11	70	
14	65	
14	57	
12	52	
6	44	
3	36	
0	28	
-3	17	
-2	7	
-4	-7	
-5	-16	
-7	-29	
-9	-38	
-10	-45	
-17	-52	
-21	-52	
-26	-54	
-31	-49	
-36	-43	
-41	-35	
-45	-27	
-49	-19	
-50	-11	
-50	-5	
-41	2	
-35	7	
-30	12	
-22	15	
-17	16	
-9	17	
0	17	
7	15	
14	16	
17	13	
17	11	
18	7	
19	2	
19	0	
19	-5	
18	-8	
14	-12	
12	-13	
10	-16	
9	-16	
9	-15	
7	-15	
5	-13	
3	-12	
1	-10	
0	-6	
-1	-5	
-2	-3	
-3	-1	
-4	-3	
-4	-4	
-4	-4	
-1	-2	
-1	-4	
0	-2	
1	-4	
